grinning	😀	grinning face
bagel	🥯	bagel
pancakes	🥞	pancakes
waffle	🧇	waffle
cheese	🧀	cheese wedge
meat_on_bone	🍖	meat on bone
poultry_leg	🍗	poultry leg
cut_of_meat	🥩	cut of meat
bacon	🥓	bacon
hamburger	🍔	hamburger
fries	🍟	french fries
pizza	🍕	pizza
hotdog	🌭	hot dog
sandwich	🥪	sandwich
taco	🌮	taco
burrito	🌯	burrito
tamale	🫔	tamale
stuffed_flatbread	🥙	stuffed flatbread
falafel	🧆	falafel
egg	🥚	egg
fried_egg	🍳	cooking
shallow_pan_of_food	🥘	shallow pan of food
stew	🍲	pot of food
fondue	🫕	fondue
bowl_with_spoon	🥣	bowl with spoon
green_salad	🥗	green salad
popcorn	🍿	popcorn
butter	🧈	butter
salt	🧂	salt
canned_food	🥫	canned food
bento	🍱	bento box
rice_cracker	🍘	rice cracker
rice_ball	🍙	rice ball
rice	🍚	cooked rice
curry	🍛	curry rice
ramen	🍜	steaming bowl
spaghetti	🍝	spaghetti
sweet_potato	🍠	roasted sweet potato
oden	🍢	oden
sushi	🍣	sushi
fried_shrimp	🍤	fried shrimp
fish_cake	🍥	fish cake with swirl
moon_cake	🥮	moon cake
dango	🍡	dango
dumpling	🥟	dumpling
fortune_cookie	🥠	fortune cookie
takeout_box	🥡	takeout box
crab	🦀	crab
lobster	🦞	lobster
shrimp	🦐	shrimp
squid	🦑	squid
oyster	🦪	oyster
icecream	🍦	soft ice cream
shaved_ice	🍧	shaved ice
ice_cream	🍨	ice cream
doughnut	🍩	doughnut
cookie	🍪	cookie
birthday	🎂	birthday cake
cake	🍰	shortcake
cupcake	🧁	cupcake
pie	🥧	pie
chocolate_bar	🍫	chocolate bar
candy	🍬	candy
lollipop	🍭	lollipop
custard	🍮	custard
honey_pot	🍯	honey pot
baby_bottle	🍼	baby bottle
milk_glass	🥛	glass of milk
coffee	☕	hot beverage
teapot	🫖	teapot
tea	🍵	teacup without handle
sake	🍶	sake
champagne	🍾	bottle with popping cork
wine_glass	🍷	wine glass
cocktail	🍸	cocktail glass
